"id","productid","orderid","quantity","price"
1,5,1,1,59.99
2,6,1,2,69.98
3,20,1,1,25.99
4,5,1,1,59.99
5,6,1,2,69.98
6,20,1,1,25.99
7,1,2,2,99.98
8,3,2,1,54.99
9,4,2,1,19.99
10,7,3,1,49.99
11,8,3,2,79.98
12,9,3,1,52.99
13,10,4,1,27.99
14,11,4,2,111.98
15,12,4,1,34.99
16,13,5,3,179.97
17,14,5,1,62.99
18,15,5,2,99.98
19,16,6,2,99.98
20,17,6,1,69.99
21,18,6,3,56.97
22,19,7,1,54.99
23,20,7,2,51.98
24,5,7,1,59.99
25,6,8,1,34.99
26,7,8,2,99.98
27,8,8,3,119.97
28,9,9,2,105.98
29,10,9,1,27.99
30,11,9,1,55.99
31,5,10,1,59.99
32,6,10,2,69.98
33,20,10,1,25.99
34,1,11,2,99.98
35,3,11,1,54.99
36,4,11,1,19.99
37,7,12,1,49.99
38,8,12,2,79.98
39,9,12,1,52.99
40,10,13,1,27.99
41,11,13,2,111.98
42,12,13,1,34.99
43,13,14,3,179.97
44,14,14,1,62.99
45,15,14,2,99.98
46,16,15,2,99.98
47,17,15,1,69.99
48,18,15,3,56.97
49,19,16,1,54.99
50,20,16,2,51.98
51,5,16,1,59.99
52,6,17,1,34.99
53,7,17,2,99.98
54,8,17,3,119.97
55,9,17,2,105.98
56,10,17,1,27.99
57,11,17,1,55.99
